iter	RMSE
0	78976.48911
1	76987.45096
2	75021.41263
3	73043.06076
4	71144.91515
5	69412.05411
6	67761.83316
7	66161.00919
8	64619.48241
9	63081.64716
10	61553.17134
11	60179.02383
12	58910.21235
13	57621.9978
14	56297.75869
15	55214.1825
16	54047.39063
17	52882.45091
18	51951.29213
19	50917.99816
20	49983.24264
21	48957.79493
22	48020.4513
23	47169.31575
24	46347.05896
25	45581.52729
26	44742.18197
27	43942.56677
28	43276.025
29	42571.17329
30	41894.75704
31	41093.36875
32	40506.51904
33	39925.23281
34	39263.45056
35	38650.98598
36	38020.91858
37	37428.45274
38	36895.27195
39	36328.60045
40	35836.58526
41	35391.02221
42	34983.89497
43	34508.05693
44	34122.62014
45	33749.21141
46	33296.78818
47	32886.55652
48	32494.62765
49	32151.65297
50	31827.72342
51	31516.44511
52	31244.88961
53	30982.99262
54	30749.23868
55	30388.42682
56	30024.7752
57	29792.16454
58	29565.29041
59	29281.01925
60	29081.3595
61	28778.28965
62	28533.85661
63	28311.18234
64	28065.13063
65	27864.15759
66	27661.17069
67	27409.07558
68	27263.47907
69	27039.44756
70	26854.29431
71	26643.32519
72	26382.82394
73	26156.34823
74	26003.55687
75	25858.6702
76	25674.78218
77	25435.54569
78	25250.26877
79	25092.38066
80	24913.3063
81	24753.45101
82	24640.22276
83	24473.98586
84	24314.68043
85	24144.39246
86	24008.62799
87	23909.54959
88	23786.07146
89	23669.09284
90	23527.28395
91	23434.32692
92	23333.55174
93	23269.72104
94	23177.66587
95	23073.40387
96	22909.27391
97	22804.36314
98	22722.61933
99	22586.7088
100	22523.07142
101	22395.80123
102	22289.10714
103	22199.65174
104	22146.91117
105	22081.13973
106	22017.43697
107	21863.969
108	21776.21051
109	21686.54247
110	21627.26071
111	21572.95017
112	21519.48309
113	21448.49586
114	21387.8096
115	21327.37566
116	21228.20798
117	21130.53704
118	21077.75412
119	21060.53258
120	20973.93484
121	20897.81068
122	20826.8024
123	20764.43693
124	20659.65398
125	20600.20451
126	20539.09209
127	20489.47142
128	20414.84718
129	20358.29292
130	20289.76587
131	20231.94749
132	20153.83667
133	20082.64064
134	20050.76384
135	19947.01154
136	19885.61132
137	19809.79109
138	19731.37432
139	19637.74727
140	19572.5758
141	19494.15234
142	19461.05872
143	19381.66198
144	19335.77482
