iter	Passed	Remaining
0	9	12601
1	22	1154322	34	11953	3	47	12344	4	55	11635	5	67	11726	6	80	12000
7	93	12187
8	107	12425
9	118	12326
10	129	12193
11	143	12415
12	158	12599
13	166	12276
14	174	12027
15	188	12118
16	198	12016
17	209	11966
18	219	11881
19	232	11946
20	249	12204
21	262	12238
22	273	12177
23	282	12058
24	294	12021
25	305	11988
26	316	11962
27	321	11713
28	330	11614
29	340	11547
30	356	11688
31	370	11751
32	383	11768
33	399	11894
34	408	11825
35	420	11802
36	431	11785
37	442	11753
38	453	11714
39	460	11585
40	474	11654
41	486	11645
42	497	11615
43	508	11581
44	521	11622
45	533	11618
46	543	11572
47	550	11460
48	556	11340
49	568	11339
50	579	11321
51	590	11306
52	601	11278
53	608	11196
54	617	11141
55	625	11074
56	640	11121
57	653	11137
58	661	11075
59	671	11053
60	685	11087
61	699	11120
62	711	11110
63	722	11091
64	733	11084
65	747	11108
66	759	11104
67	772	11123
68	795	11276
69	805	11244
70	818	11256
71	830	11247
72	842	11240
73	856	11261
74	867	11241
75	880	11249
76	894	11267
77	905	11246
78	917	11244
79	926	11203
80	941	11233
81	950	11190
82	960	11150
83	982	11260
84	994	11253
85	1006	11245
86	1017	11229
87	1031	11241
88	1043	11232
89	1057	11243
90	1072	11267
91	1079	11202
92	1088	11169
93	1101	11164
94	1112	11149
95	1125	11147
96	1137	11137
97	1146	11098
98	1155	11064
99	1167	11052
100	1183	11081
101	1188	11012
102	1205	11045
103	1217	11039
104	1227	11014
105	1242	11030
106	1252	11005
107	1261	10971
108	1271	10941
109	1281	10919
110	1291	10888
111	1299	10849
112	1312	10850
113	1324	10842
114	1336	10831
115	1348	10819
116	1358	10798
117	1372	10802
118	1381	10771
119	1393	10763
120	1402	10729
121	1412	10706
122	1421	10681
123	1432	10662
124	1443	10645
125	1451	10609
126	1462	10593
127	1471	10565
128	1482	10549
129	1492	10530
130	1505	10529
131	1516	10512
132	1529	10511
133	1542	10509
134	1556	10514
135	1568	10508
136	1578	10482
137	1591	10484
138	1603	10473
139	1618	10487
140	1627	10455
141	1639	10448
142	1648	10421
143	1660	10415
144	1675	10425
145	1685	10403
146	1701	10415
147	1711	10397
148	1723	10389
149	1735	10375
150	1745	10359
151	1758	10351
152	1768	10336
153	1778	10314
154	1789	10296
155	1797	10267
156	1806	10241
157	1815	10217
158	1827	10203
159	1837	10186
160	1848	10174
161	1857	10146
162	1866	10122
163	1877	10110
164	1887	10087
165	1896	10067
166	1907	10052
167	1917	10034
168	1930	10027
169	1946	10040
170	1958	10033
171	1969	10019
172	1979	10001
173	1990	9988
174	2006	10000
175	2023	10013
176	2040	10029
177	2049	10004
178	2063	10006
179	2077	10007
180	2090	10001
181	2098	9975
182	2111	9968
183	2122	9953
184	2131	9933
185	2143	9922
186	2152	9898
187	2160	9871
188	2172	9862
189	2188	9869
190	2200	9860
191	2213	9856
192	2223	9840
193	2234	9825
194	2244	9807
195	2257	9801
196	2265	9775
197	2278	9771
198	2292	9769
199	2302	9750
200	2313	9736
201	2322	9715
202	2332	9696
203	2344	9687
204	2352	9661
205	2362	9643
206	2373	9630
207	2383	9615
208	2391	9589
209	2402	9573
210	2413	9564
211	2423	9546
212	2435	9537
213	2449	9536
214	2462	9529
215	2471	9507
216	2485	9507
217	2499	9505
218	2509	9486
219	2525	9495
220	2539	9492
221	2548	9471
222	2562	9467
223	2572	9450
224	2582	9434
225	2597	9435
226	2610	9429
227	2625	9429
228	2638	9426
229	2651	9416
230	2659	9394
231	2671	9384
232	2685	9383
233	2697	9371
234	2708	9357
235	2720	9348
236	2727	9321
237	2736	9303
238	2748	9291
239	2759	9278
240	2772	9272
241	2788	9277
242	2801	9267
243	2812	9256
244	2825	9248
245	2842	9253
246	2853	9243
247	2866	9236
248	2877	9222
249	2891	9218
250	2902	9204
251	2913	9190
252	2927	9187
253	2942	9187
254	2953	9171
255	2965	9162
256	2976	9149
257	2989	9141
258	3001	9131
259	3013	9120
260	3025	9111
261	3040	9110
262	3056	9111
263	3068	9099
264	3078	9085
265	3092	9078
266	3106	9075
267	3118	9063
268	3129	9051
269	3138	9031
270	3151	9024
271	3163	9013
272	3173	8996
273	3189	8997
274	3203	8993
275	3217	8986
276	3226	8969
277	3238	8957
278	3248	8942
279	3257	8923
280	3272	8919
281	3283	8906
282	3296	8899
283	3307	8886
284	3318	8872
285	3328	8855
286	3341	8847
287	3355	8842
288	3363	8821
289	3373	8806
290	3388	8804
291	3398	8787
292	3408	8771
293	3425	8774
294	3436	8760
295	3448	8750
296	3460	8739
297	3474	8733
298	3491	8735
299	3500	8716
300	3513	8708
301	3527	8701
302	3542	8697
303	3551	8681
304	3563	8669
305	3574	8656
306	3586	8645
307	3599	8636
308	3610	8623
309	3626	8621
602
310	3627	8585
311	3637	8569
312	3651	8564
313	3663	8552
314	3671	8531
315	3681	8515
316	3696	8513
317	3711	8507
318	3720	8490
319	3730	8474
320	3740	8458
321	3750	8443
322	3759	8426
323	3770	8414
324	3782	8404
325	3799	8403
326	3822	8415
00	7701
340	2809	7694
341	2819	7690
342	2830	7690
343	2839	7684
344	2844	7668
345	2851	7656
346	2863	7657
347	2874	7656
348	2886	7658
349	2892	7644
350	2899	7632
351	2903	7614
352	2906	7592
353	2915	7586
354	2921	7570
355	2928	7559
356	2934	7547
357	2945	7544
358	2955	7540
359	2965	7536
360	2975	7534
361	2983	7524
362	2993	7519
363	3005	7521
364	3012	7510
365	3023	7508
366	3031	7500
367	3041	7495
368	3050	7490
369	3057	7479
370	3069	7478
371	3075	7465
372	3086	7464
373	3095	7458
374	3106	7454
375	3110	7436
376	3121	7435
377	3129	7425
378	3136	7414
379	3144	7407
380	3153	7399
381	3161	7391
382	3169	7381
383	3176	7371
384	3185	7364
385	3192	7353
386	3200	7344
387	3205	7328
388	3213	7320
389	3224	7316
390	3231	7305
391	3237	7293
392	3244	7282
393	3250	7267
394	3260	7262
395	3269	7257
396	3276	7245
397	3283	7235
398	3291	7226
399	3303	7225
400	3309	7212
401	3317	7204
402	3326	7198
403	3334	7189
404	3342	7180
405	3349	7168
406	3356	7158
407	3369	7159
408	3377	7150
409	3386	7144
410	3392	7131
411	3398	7119
412	3407	7111
413	3415	7102
414	3424	7095
415	3432	7086
416	3441	7081
417	3448	7070
418	3457	7063
419	3466	7056
420	3476	7051
421	3481	7037
422	3485	7019
423	3490	7006
424	3496	6992
425	3499	6974
426	3503	6957
427	3513	6952
428	3522	6947
429	3528	6934
430	3532	6917
431	3541	6911
432	3551	6905
433	3561	6901
434	3570	6894
435	3577	6884
436	3586	6876
